platform,content_type,day_of_week,hour,followers,hashtags,likes,comments,shares,reach,engagement_rate
TikTok,Text,Tuesday,14,194246,21,1841,158,30,111862,0.0142
Facebook,Image,Thursday,21,8774,22,52,4,1,2198,0.0095
LinkedIn,Image,Sunday,18,7233,20,482,18,30,2954,0.0862
LinkedIn,Video,Tuesday,9,7586,9,696,44,34,1193,0.1402
Twitter,Image,Tuesday,9,14080,0,9,0,0,6353,0.001
LinkedIn,Text,Saturday,10,3956,12,118,13,5,2015,0.0446
TikTok,Video,Saturday,23,1985,29,23,1,1,1135,0.0166
Facebook,Carousel,Sunday,19,12869,11,74,3,3,1974,0.0076
LinkedIn,Carousel,Tuesday,19,26394,6,2612,188,86,12602,0.1646
TikTok,Video,Friday,20,4561,3,115,12,2,1484,0.0372
Twitter,Carousel,Saturday,11,63698,10,81,3,2,10978,0.0018
Facebook,Video,Friday,9,32639,7,145,12,7,9826,0.0087
LinkedIn,Image,Sunday,20,185650,27,7043,820,275,74360,0.0614
LinkedIn,Text,Monday,14,42704,7,1873,190,81,21208,0.0649
TikTok,Text,Tuesday,8,8275,22,92,5,3,2520,0.018
TikTok,Image,Thursday,16,16823,9,379,18,12,3701,0.0324
LinkedIn,Video,Saturday,18,14851,25,1212,55,35,3606,0.108
Instagram,Text,Thursday,19,63369,16,750,85,7,7851,0.0175
Instagram,Video,Tuesday,17,39540,22,440,50,29,21825,0.0223
Instagram,Text,Thursday,13,17918,16,98,7,3,9647,0.0101
Instagram,Text,Saturday,21,8129,21,49,4,3,4641,0.0083
Instagram,Image,Wednesday,10,30061,26,189,7,9,11004,0.0117
Instagram,Text,Wednesday,14,131,7,0,0,0,27,0.012
Instagram,Carousel,Saturday,16,2321,12,15,1,0,393,0.0133
Instagram,Image,Friday,13,3168,1,23,1,0,1537,0.0107
TikTok,Video,Wednesday,23,2139,23,34,2,0,1032,0.0256
Facebook,Image,Friday,7,1787,16,4,0,0,479,0.0039
Instagram,Image,Sunday,23,8517,25,74,8,5,3592,0.0118
LinkedIn,Image,Sunday,8,669691,16,28382,3274,2076,360199,0.0633
Facebook,Text,Thursday,2,2946,10,6,0,0,1021,0.004
Facebook,Image,Thursday,9,59084,11,208,8,13,16835,0.0053
LinkedIn,Carousel,Tuesday,16,12626,14,677,79,46,2387,0.1028
Twitter,Video,Sunday,18,108222,11,115,9,9,27629,0.0019
TikTok,Carousel,Friday,20,248,7,5,0,0,73,0.0332
TikTok,Image,Sunday,19,38972,15,529,24,32,7572,0.0201
Instagram,Image,Friday,8,8656,16,46,4,2,4244,0.0073
Instagram,Video,Friday,19,578371,20,9254,324,111,109387,0.0206
Twitter,Carousel,Sunday,14,5356,17,4,0,0,2482,0.001
TikTok,Video,Wednesday,14,9103,12,134,14,1,2330,0.0267
Instagram,Video,Monday,14,8600,4,73,7,1,2871,0.0122
Instagram,Image,Saturday,14,27197,17,192,12,14,13288,0.0105
Instagram,Carousel,Tuesday,5,13571,10,126,15,3,5266,0.0133
LinkedIn,Video,Saturday,18,3212,14,146,17,8,840,0.0888
TikTok,Image,Saturday,7,13494,7,154,16,8,3654,0.0187
LinkedIn,Video,Monday,13,668,22,49,2,3,172,0.1035
LinkedIn,Video,Monday,8,3504,3,184,15,12,1925,0.0896
LinkedIn,Video,Sunday,12,244199,9,17222,779,1175,94242,0.0989
LinkedIn,Video,Wednesday,22,9235,22,432,49,15,3064,0.0702
Instagram,Image,Saturday,15,4237,25,21,1,1,1008,0.0088
Instagram,Video,Friday,16,10558,2,119,13,1,6276,0.0177
Twitter,Video,Saturday,7,2756,0,2,0,0,373,0.0013
Instagram,Video,Sunday,11,374,3,2,0,0,215,0.0147
Instagram,Text,Tuesday,10,1084,15,9,0,0,423,0.012
Instagram,Carousel,Wednesday,11,29225,15,463,30,7,3821,0.0212
Instagram,Image,Saturday,18,3937,4,37,2,1,421,0.0122
Instagram,Image,Thursday,8,600,24,4,0,0,179,0.0108
Instagram,Image,Tuesday,5,8649,24,58,4,2,4444,0.0118
Instagram,Video,Sunday,18,1704,28,17,2,1,756,0.0195
Twitter,Carousel,Sunday,12,5703,28,3,0,0,1788,0.001
Instagram,Text,Wednesday,20,1494,28,11,1,0,599,0.0131
Facebook,Carousel,Monday,17,8319,5,30,3,2,2154,0.0059
TikTok,Image,Thursday,9,9539,17,124,5,6,4851,0.0167
LinkedIn,Video,Wednesday,11,1978,1,149,12,5,769,0.1208
TikTok,Carousel,Wednesday,7,69797,29,574,43,18,24719,0.0158
Instagram,Video,Thursday,2,7580,12,77,2,2,1172,0.0178
LinkedIn,Video,Saturday,12,825,23,54,5,3,171,0.0997
LinkedIn,Carousel,Friday,14,8102,4,455,40,17,1404,0.0995
TikTok,Video,Wednesday,9,18018,23,299,28,18,3047,0.026
Twitter,Carousel,Monday,15,6723,8,7,0,0,2112,0.0014
LinkedIn,Image,Monday,10,1484,21,88,5,1,840,0.0804
TikTok,Video,Wednesday,19,12065,7,292,10,16,6872,0.0463
Instagram,Carousel,Sunday,22,5591,19,53,6,1,2700,0.0131
TikTok,Video,Wednesday,17,55465,7,1537,102,26,30671,0.0543
Instagram,Image,Monday,14,5744,6,51,1,1,2060,0.0138
Instagram,Video,Saturday,18,2300,7,33,3,1,581,0.02
TikTok,Video,Sunday,16,8373,3,159,8,10,4844,0.0254
LinkedIn,Image,Wednesday,14,29646,22,1187,86,94,17490,0.0528
Facebook,Image,Monday,19,1870,27,8,0,0,200,0.0086
Facebook,Video,Saturday,6,50033,21,162,16,2,20587,0.0044
Instagram,Video,Monday,22,9502,26,82,3,4,2527,0.0134
Instagram,Carousel,Monday,15,28422,10,307,17,19,5759,0.0212
LinkedIn,Image,Saturday,16,68225,17,2091,169,74,38756,0.0489
Instagram,Carousel,Tuesday,9,11163,6,85,10,5,5292,0.0136
Facebook,Text,Friday,17,7418,4,16,1,0,3875,0.0033
Instagram,Video,Thursday,11,6165,4,106,12,3,3414,0.0297
TikTok,Image,Monday,16,21368,2,418,50,28,11682,0.0309
Facebook,Video,Tuesday,0,3053,14,13,1,0,1738,0.0062
Instagram,Video,Thursday,5,6461,4,60,4,2,3644,0.0121
TikTok,Image,Tuesday,7,54748,23,743,37,38,21096,0.0194
TikTok,Image,Saturday,11,20852,5,367,22,18,10755,0.0298
Twitter,Carousel,Sunday,8,55735,29,42,2,2,14268,0.0011
Twitter,Text,Wednesday,10,5935,10,4,0,0,3138,0.0013
Facebook,Text,Friday,9,42769,5,149,14,11,11057,0.0045
Twitter,Image,Thursday,18,13394,28,15,1,0,1385,0.0019
Instagram,Video,Saturday,16,6320,1,66,3,3,1271,0.0147
Instagram,Image,Wednesday,20,12693,10,212,11,10,1902,0.0218
Twitter,Video,Wednesday,10,3463,3,5,0,0,1892,0.0027
Facebook,Carousel,Sunday,12,290,13,2,0,0,66,0.01
Instagram,Image,Wednesday,7,58231,23,591,65,44,29330,0.0156
LinkedIn,Video,Saturday,7,238423,17,12163,1359,139,65329,0.0883
LinkedIn,Carousel,Saturday,16,3147,23,173,8,3,900,0.0971
Facebook,Carousel,Monday,12,2097,8,8,0,0,637,0.0065
Instagram,Image,Sunday,9,395,5,2,0,0,136,0.0111
Instagram,Video,Tuesday,18,40928,0,999,43,68,4411,0.0322
LinkedIn,Image,Tuesday,9,2804,1,152,6,8,1075,0.1078
LinkedIn,Video,Saturday,21,4925,2,496,54,34,2573,0.1313
TikTok,Video,Friday,9,932,7,20,2,0,380,0.0282
TikTok,Image,Wednesday,3,2033,13,37,2,0,434,0.0244
TikTok,Image,Wednesday,5,4348,19,67,6,2,1278,0.0216
TikTok,Image,Thursday,7,1171,0,17,1,0,386,0.0226
LinkedIn,Text,Wednesday,8,9795,5,217,12,4,1984,0.0376
Facebook,Video,Friday,16,10662,28,39,3,1,3954,0.0051
Instagram,Carousel,Wednesday,9,4039,20,63,4,2,1176,0.0231
LinkedIn,Image,Wednesday,19,70188,10,6059,331,292,14529,0.1152
TikTok,Video,Saturday,14,14233,3,240,27,7,8014,0.0225
Facebook,Text,Monday,1,8628,27,17,1,0,3749,0.0038
Twitter,Carousel,Wednesday,22,43596,18,47,4,2,5258,0.0015
LinkedIn,Video,Friday,11,450,11,28,2,0,69,0.081
TikTok,Video,Saturday,17,10507,27,145,8,9,5161,0.0206
TikTok,Video,Saturday,20,30288,28,430,48,13,17815,0.0249
Instagram,Text,Monday,12,6869,17,39,3,1,3436,0.0111
Instagram,Image,Saturday,8,3861,7,20,2,1,1505,0.0081
Instagram,Carousel,Sunday,7,2768,12,32,3,1,1424,0.0161
Twitter,Text,Saturday,21,571,17,0,0,0,181,0.0016
Instagram,Carousel,Tuesday,19,16681,18,167,16,6,4423,0.0194
TikTok,Video,Thursday,16,709,28,17,1,1,245,0.0382
Instagram,Image,Tuesday,19,2466,10,34,3,0,628,0.0274
LinkedIn,Video,Sunday,14,21279,1,1686,127,93,7475,0.1095
TikTok,Video,Thursday,16,100246,12,2129,172,27,18884,0.0285
Facebook,Image,Friday,9,12711,25,44,1,1,4825,0.0049
Instagram,Image,Thursday,18,3017,10,36,3,1,749,0.0168
Facebook,Text,Saturday,13,5597,8,16,1,0,2501,0.0046
Facebook,Text,Tuesday,7,2103,19,5,0,0,841,0.0033
Instagram,Text,Tuesday,19,696,11,4,0,0,252,0.0131
Twitter,Text,Saturday,17,165088,26,116,5,4,91652,0.001
TikTok,Image,Thursday,18,2286,12,50,4,0,1184,0.0419
Facebook,Image,Tuesday,9,12919,5,43,3,1,1518,0.0051
Instagram,Video,Monday,14,20509,19,195,10,12,3764,0.0183
LinkedIn,Carousel,Monday,13,27103,22,2722,212,156,14548,0.1411
TikTok,Image,Tuesday,20,112135,26,1472,120,102,33537,0.0256
TikTok,Carousel,Friday,10,9862,14,120,10,7,4769,0.0229
Twitter,Image,Sunday,16,878,11,0,0,0,372,0.0011
Instagram,Image,Saturday,20,6373,1,60,6,2,3596,0.0134
LinkedIn,Image,Saturday,13,3381,8,137,12,9,823,0.0643
Instagram,Image,Monday,1,5503,4,42,2,3,1876,0.0128
LinkedIn,Image,Tuesday,9,15415,16,908,34,39,3034,0.0863
Instagram,Carousel,Friday,10,6497,29,49,2,2,3543,0.015
Instagram,Text,Friday,12,26150,27,118,5,4,6416,0.0084
LinkedIn,Text,Sunday,12,41238,1,949,77,50,12477,0.0356
TikTok,Carousel,Thursday,22,85924,23,1399,113,101,29007,0.0281
Twitter,Video,Tuesday,17,204,30,0,0,0,111,0.0011
TikTok,Image,Thursday,12,255,17,6,0,0,82,0.037
LinkedIn,Video,Tuesday,9,3403,28,191,9,4,364,0.0997
Facebook,Text,Thursday,15,9708,0,27,1,2,1475,0.0047
TikTok,Video,Friday,19,27493,2,668,31,47,13876,0.0309
Twitter,Image,Thursday,7,6198,25,4,0,0,2663,0.0013
TikTok,Carousel,Tuesday,18,2146,0,41,3,1,760,0.0341
Facebook,Carousel,Tuesday,7,10676,30,61,1,3,1843,0.0087
Facebook,Text,Friday,19,802,6,2,0,0,291,0.0051
TikTok,Image,Thursday,19,8897,8,168,9,10,2156,0.0264
Facebook,Video,Friday,18,54175,1,256,23,6,26959,0.0076
LinkedIn,Image,Monday,22,84481,0,4397,238,249,42508,0.0679
Instagram,Image,Saturday,22,29093,21,218,8,5,3037,0.0105
LinkedIn,Video,Sunday,12,73332,20,3008,272,83,8013,0.0734
LinkedIn,Image,Friday,20,2158,24,91,8,5,343,0.0624
Facebook,Carousel,Wednesday,16,16759,22,68,2,2,2570,0.0058
Facebook,Carousel,Monday,2,788,3,2,0,0,459,0.0051
LinkedIn,Text,Friday,19,6972,24,254,20,4,1158,0.0556
LinkedIn,Carousel,Sunday,4,237,19,9,0,0,107,0.052
Instagram,Carousel,Saturday,22,2612,15,18,2,0,1245,0.0135
TikTok,Image,Tuesday,18,29537,7,895,59,69,4156,0.0404
TikTok,Image,Saturday,16,147826,1,1609,166,25,78014,0.0186
Instagram,Carousel,Saturday,13,474,15,4,0,0,205,0.0175
TikTok,Carousel,Thursday,16,2668,12,33,1,0,1135,0.0166
Instagram,Text,Tuesday,16,2814,2,18,1,1,1236,0.0094
Instagram,Image,Thursday,8,5294,17,69,7,2,1082,0.0172
Facebook,Image,Sunday,4,39997,14,74,3,2,23318,0.0037
Twitter,Text,Wednesday,5,2751,2,2,0,0,1241,0.001
LinkedIn,Text,Tuesday,12,15945,28,559,25,41,2332,0.0572
LinkedIn,Video,Monday,22,26115,22,1211,138,74,8590,0.0731
LinkedIn,Carousel,Monday,15,2432,21,108,4,5,551,0.0579
Facebook,Video,Monday,8,45579,23,258,19,18,17960,0.0078
Twitter,Image,Wednesday,10,29951,20,25,1,1,17375,0.0014
Instagram,Text,Sunday,14,9533,0,49,1,2,1294,0.0068
LinkedIn,Video,Thursday,7,54584,0,3385,102,132,25335,0.1066
Facebook,Text,Saturday,16,2581,30,5,0,0,1474,0.0029
TikTok,Video,Friday,12,1405,0,22,1,1,834,0.0302
TikTok,Image,Sunday,9,2312,7,23,2,0,983,0.0178
Instagram,Video,Sunday,14,610,28,4,0,0,222,0.013
